Rk,Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
790,1997-98,MIL,82,36,46,0.439,19930,2918,6399,2669,5696,249,703,1663,2167,1035,2236,3271,1649,733,357,1383,1915,7748,0.456,0.469,0.354,0.767,0.527,0.475
791,1997-98,MIN,82,45,37,0.549,19930,3157,6844,2854,5971,303,873,1673,2253,1063,2429,3492,2068,639,427,1138,1882,8290,0.461,0.478,0.347,0.743,0.529,0.483
792,1997-98,NJN,82,43,39,0.524,19880,3055,6928,2745,5991,310,937,1750,2351,1344,2137,3481,1685,777,314,1180,1917,8170,0.441,0.458,0.331,0.744,0.513,0.463
793,1997-98,NYK,82,43,39,0.524,19830,2864,6413,2482,5274,382,1139,1399,1812,978,2434,3412,1787,634,278,1247,1947,7509,0.447,0.471,0.335,0.772,0.521,0.476
794,1997-98,SEA,82,61,21,0.744,19755,3052,6458,2431,4889,621,1569,1521,2109,931,2225,3156,1986,804,376,1145,1812,8246,0.473,0.497,0.396,0.721,0.558,0.521
795,1997-98,ORL,82,41,41,0.5,19830,2771,6455,2478,5548,293,907,1552,2138,1178,2203,3381,1694,649,441,1258,1617,7387,0.429,0.447,0.323,0.726,0.499,0.452
796,1997-98,PHI,82,31,51,0.378,19755,2837,6409,2594,5599,243,810,1734,2352,1125,2294,3419,1729,729,490,1354,1878,7651,0.443,0.463,0.3,0.737,0.514,0.462
797,1997-98,PHO,82,56,26,0.683,19955,3138,6710,2707,5499,431,1211,1459,1948,991,2452,3443,2124,756,429,1236,1765,8166,0.468,0.492,0.356,0.749,0.54,0.5
798,1997-98,POR,82,46,36,0.561,19830,2885,6397,2561,5350,324,1047,1640,2226,1086,2522,3608,1766,585,464,1383,1859,7734,0.451,0.479,0.309,0.737,0.524,0.476
799,1997-98,SAC,82,27,55,0.329,19730,2957,6684,2674,5878,283,806,1440,2096,1094,2304,3398,1836,596,420,1271,1810,7637,0.442,0.455,0.351,0.687,0.502,0.464
800,1997-98,SAS,82,56,26,0.683,19830,2898,6187,2596,5324,302,863,1489,2164,984,2638,3622,1839,516,568,1318,1731,7587,0.468,0.488,0.35,0.688,0.531,0.493
801,1997-98,TOR,82,16,66,0.195,19930,2965,6813,2593,5727,372,1086,1479,2060,1187,2149,3336,1746,769,663,1371,1851,7781,0.435,0.453,0.343,0.718,0.504,0.462
802,1997-98,UTA,82,62,20,0.756,19780,2993,6113,2744,5443,249,670,2044,2644,962,2405,3367,2070,648,412,1260,1961,8279,0.49,0.504,0.372,0.773,0.569,0.51
803,1997-98,WAS,82,42,40,0.512,19805,3080,6811,2760,5867,320,944,1489,2156,1121,2341,3462,1900,689,379,1156,1839,7969,0.452,0.47,0.339,0.691,0.513,0.476
804,1996-97,ATL,82,56,26,0.683,19805,2812,6307,2153,4473,659,1834,1491,1955,1021,2350,3371,1557,701,427,1228,1591,7774,0.446,0.481,0.359,0.763,0.542,0.498
805,1996-97,BOS,82,15,67,0.183,19905,3066,6967,2599,5636,467,1331,1649,2199,1095,2188,3283,1792,810,315,1342,1915,8248,0.44,0.461,0.351,0.75,0.52,0.474
806,1996-97,CHH,82,54,28,0.659,19805,2988,6342,2397,4960,591,1382,1541,1984,910,2298,3208,2021,597,349,1203,1702,8108,0.471,0.483,0.428,0.777,0.562,0.518
807,1996-97,CHI,82,69,13,0.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,0.473,0.499,0.373,0.747,0.547,0.511
808,1996-97,CLE,82,42,40,0.512,19855,2704,5972,2221,4688,483,1284,1282,1773,909,2159,3068,1714,655,315,1188,1882,7173,0.453,0.474,0.376,0.723,0.531,0.493
809,1996-97,DAL,82,24,58,0.293,19805,2813,6452,2383,5136,430,1316,1375,1918,1040,2262,3302,1663,654,351,1324,1798,7431,0.436,0.464,0.327,0.717,0.509,0.469
810,1996-97,DEN,82,21,61,0.256,19930,2934,6687,2298,4976,636,1711,1516,1992,994,2452,3446,1889,503,487,1359,1784,8020,0.439,0.462,0.372,0.761,0.53,0.486
811,1996-97,DET,82,54,28,0.659,19830,2827,6095,2245,4596,582,1499,1487,1995,858,2292,3150,1554,632,283,1041,1652,7723,0.464,0.488,0.388,0.745,0.554,0.512
812,1996-97,GSW,82,30,52,0.366,19905,2997,6567,2516,5204,481,1363,1696,2180,1086,2259,3345,1822,611,359,1410,1787,8171,0.456,0.483,0.353,0.778,0.543,0.493
813,1996-97,HOU,82,57,25,0.695,19855,3037,6484,2366,4645,671,1839,1503,1992,927,2565,3492,2013,685,347,1365,1610,8248,0.468,0.509,0.365,0.755,0.56,0.52
814,1996-97,IND,82,39,43,0.476,19930,2851,6254,2421,5124,430,1130,1687,2336,1029,2390,3419,1750,585,394,1338,1977,7819,0.456,0.472,0.381,0.722,0.537,0.49
815,1996-97,LAC,82,36,46,0.439,19930,2989,6696,2515,5357,474,1339,1517,2074,1092,2242,3334,1662,733,441,1311,1964,7969,0.446,0.469,0.354,0.731,0.524,0.482
816,1996-97,LAL,82,56,26,0.683,19930,3018,6642,2467,5142,551,1500,1613,2330,1092,2414,3506,1845,740,575,1222,1818,8200,0.454,0.48,0.367,0.692,0.535,0.496
817,1996-97,VAN,82,14,68,0.171,19780,2819,6453,2374,5179,445,1274,1230,1734,1023,2155,3178,1862,657,464,1301,1755,7313,0.437,0.458,0.349,0.709,0.507,0.471
818,1996-97,MIA,82,61,21,0.744,19805,2822,6235,2144,4370,678,1865,1454,2022,957,2402,3359,1735,650,439,1306,1919,7776,0.453,0.491,0.364,0.719,0.546,0.507
819,1996-97,MIL,82,33,49,0.402,19730,2967,6303,2643,5383,324,920,1560,2104,955,2263,3218,1610,632,348,1285,1892,7818,0.471,0.491,0.352,0.741,0.541,0.496
820,1996-97,MIN,82,40,42,0.488,19780,2937,6436,2566,5343,371,1093,1637,2180,957,2302,3259,1874,618,557,1243,1818,7882,0.456,0.48,0.339,0.751,0.533,0.485
821,1996-97,NJN,82,26,56,0.317,19780,2994,7091,2510,5720,484,1371,1502,2031,1410,2376,3786,1726,677,481,1290,1865,7974,0.422,0.439,0.353,0.74,0.499,0.456
822,1996-97,NYK,82,57,25,0.695,19855,2882,6227,2412,4933,470,1294,1585,2119,973,2516,3489,1809,629,378,1462,2033,7819,0.463,0.489,0.363,0.748,0.546,0.501
823,1996-97,SEA,82,57,25,0.695,19780,2995,6415,2436,4832,559,1583,1725,2295,1010,2271,3281,1931,904,388,1231,1803,8274,0.467,0.504,0.353,0.752,0.557,0.51
824,1996-97,ORL,82,45,37,0.549,19855,2839,6497,2272,4835,567,1662,1474,1975,1071,2221,3292,1689,694,363,1250,1643,7719,0.437,0.47,0.341,0.746,0.524,0.481
825,1996-97,PHI,82,22,60,0.268,19780,3003,6850,2570,5494,433,1356,1776,2450,1267,2355,3622,1695,683,394,1437,1733,8215,0.438,0.468,0.319,0.725,0.518,0.47
826,1996-97,PHO,82,40,42,0.488,19855,3143,6705,2616,5277,527,1428,1618,2125,916,2376,3292,2067,664,322,1180,1727,8431,0.469,0.496,0.369,0.761,0.552,0.508
827,1996-97,POR,82,49,33,0.598,19855,3000,6465,2499,5064,501,1401,1613,2261,1058,2494,3552,1710,640,435,1357,1928,8114,0.464,0.493,0.358,0.713,0.544,0.503
828,1996-97,SAC,82,34,48,0.415,19855,3000,6611,2586,5553,414,1058,1494,2067,1100,2307,3407,1799,588,362,1332,1946,7908,0.454,0.466,0.391,0.723,0.526,0.485
829,1996-97,SAS,82,20,62,0.244,19730,2827,6391,2449,5211,378,1180,1386,1929,1101,2129,3230,1661,646,431,1243,1764,7418,0.442,0.47,0.32,0.719,0.512,0.472
830,1996-97,TOR,82,30,52,0.366,19830,2897,6632,2308,5008,589,1624,1446,2008,1135,2254,3389,1714,722,517,1347,1883,7829,0.437,0.461,0.363,0.72,0.521,0.481
831,1996-97,UTA,82,64,18,0.78,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454,0.504,0.526,0.37,0.769,0.581,0.53
832,1996-97,WSB,82,44,38,0.537,19855,3208,6678,2877,5677,331,1001,1400,1979,1010,2420,3430,1921,712,402,1289,1815,8147,0.48,0.507,0.331,0.707,0.54,0.505
833,1995-96,ATL,82,46,36,0.561,19730,2985,6665,2419,5070,566,1595,1523,2012,1182,2148,3330,1609,771,319,1228,1714,8059,0.448,0.477,0.355,0.757,0.534,0.49
834,1995-96,BOS,82,33,49,0.402,19905,3163,6942,2624,5489,539,1453,1630,2284,1050,2427,3477,1792,653,406,1302,2041,8495,0.456,0.478,0.371,0.714,0.534,0.494
835,1995-96,CHH,82,41,41,0.5,19880,3108,6618,2524,5098,584,1520,1631,2119,987,2256,3243,1907,582,277,1241,1815,8431,0.47,0.495,0.384,0.77,0.558,0.514
836,1995-96,CHI,82,72,10,0.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,0.478,0.496,0.403,0.746,0.555,0.517
837,1995-96,CLE,82,47,35,0.573,19830,2761,5998,2165,4416,596,1582,1355,1775,867,2055,2922,1818,674,340,1073,1685,7473,0.46,0.49,0.377,0.763,0.551,0.51
838,1995-96,DAL,82,26,56,0.317,19930,3124,7431,2389,5392,735,2039,1426,1975,1408,2379,3787,1913,642,342,1270,1836,8409,0.42,0.443,0.36,0.722,0.507,0.47
839,1995-96,DEN,82,35,47,0.427,19830,3001,6657,2604,5509,397,1148,1614,2173,1057,2487,3544,1851,521,597,1265,1882,8013,0.451,0.473,0.346,0.743,0.526,0.481
840,1995-96,DET,82,46,36,0.561,19830,2810,6122,2265,4772,545,1350,1657,2206,884,2440,3324,1610,506,352,1215,1953,7822,0.459,0.475,0.404,0.751,0.551,0.504
841,1995-96,GSW,82,36,46,0.439,19755,3056,6700,2609,5501,447,1199,1775,2340,1173,2285,3458,1889,706,470,1343,1835,8334,0.456,0.474,0.373,0.759,0.539,0.489
842,1995-96,HOU,82,48,34,0.585,19805,3078,6638,2441,4877,637,1761,1611,2106,919,2455,3374,1982,645,476,1245,1753,8404,0.464,0.501,0.362,0.765,0.555,0.512
843,1995-96,IND,82,52,30,0.634,19755,2979,6205,2616,5232,363,973,1823,2416,1010,2262,3272,1917,579,323,1335,2031,8144,0.48,0.5,0.373,0.755,0.56,0.509
844,1995-96,LAC,82,29,53,0.354,19730,3126,6618,2617,5244,509,1374,1392,1984,979,2190,3169,1672,703,411,1355,2008,8153,0.472,0.499,0.37,0.702,0.544,0.511
845,1995-96,LAL,82,53,29,0.646,19680,3216,6706,2739,5347,477,1359,1529,2049,995,2303,3298,2080,722,516,1163,1702,8438,0.48,0.512,0.351,0.746,0.555,0.515
846,1995-96,VAN,82,15,67,0.183,19880,2772,6483,2400,5354,372,1129,1446,1998,957,2170,3127,1706,728,333,1347,1852,7362,0.428,0.448,0.329,0.724,0.5,0.456
847,1995-96,MIA,82,42,40,0.512,19780,2902,6348,2350,4890,552,1458,1553,2187,999,2495,3494,1752,574,439,1394,2158,7909,0.457,0.481,0.379,0.71,0.541,0.501
848,1995-96,MIL,82,25,57,0.305,19730,3034,6490,2677,5434,357,1056,1412,1914,973,2164,3137,1755,582,307,1295,1943,7837,0.467,0.493,0.338,0.738,0.534,0.495
849,1995-96,MIN,82,26,56,0.317,19780,2974,6481,2695,5624,279,857,1797,2314,985,2271,3256,1867,650,481,1426,1994,8024,0.459,0.479,0.326,0.777,0.535,0.48
850,1995-96,NJN,82,30,52,0.366,19905,2881,6750,2631,6004,250,746,1672,2244,1350,2503,3853,1752,627,571,1375,1880,7684,0.427,0.438,0.335,0.745,0.497,0.445
851,1995-96,NYK,82,47,35,0.573,19830,3003,6382,2518,5097,485,1285,1480,1954,829,2449,3278,1822,645,377,1272,1864,7971,0.471,0.494,0.377,0.757,0.55,0.509
852,1995-96,SEA,82,64,18,0.78,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572,0.48,0.519,0.364,0.76,0.574,0.526
853,1995-96,ORL,82,60,22,0.732,19855,3203,6640,2581,4995,622,1645,1543,2232,966,2401,3367,2080,663,406,1160,1709,8571,0.482,0.517,0.378,0.691,0.562,0.529
854,1995-96,PHI,82,18,64,0.22,19730,2796,6418,2304,4980,492,1438,1662,2263,1031,2161,3192,1629,643,420,1414,1777,7746,0.436,0.463,0.342,0.734,0.522,0.474
855,1995-96,PHO,82,41,41,0.5,19955,3159,6673,2832,5689,327,984,1907,2472,1009,2501,3510,2001,623,331,1207,1776,8552,0.473,0.498,0.332,0.771,0.551,0.498
856,1995-96,POR,82,44,38,0.537,19905,3064,6688,2584,5330,480,1358,1537,2321,1160,2577,3737,1760,594,417,1377,1859,8145,0.458,0.485,0.353,0.662,0.528,0.494
857,1995-96,SAC,82,39,43,0.476,19755,2971,6494,2509,5300,462,1194,1759,2407,1114,2345,3459,1829,643,436,1442,2131,8163,0.457,0.473,0.387,0.731,0.54,0.493
858,1995-96,SAS,82,59,23,0.72,19780,3148,6602,2630,5282,518,1320,1663,2261,937,2586,3523,2044,645,536,1195,1820,8477,0.477,0.498,0.392,0.736,0.558,0.516
859,1995-96,TOR,82,21,61,0.256,19830,3084,6598,2670,5430,414,1168,1412,1953,1071,2213,3284,1927,745,493,1544,1987,7994,0.467,0.492,0.354,0.723,0.536,0.499
860,1995-96,UTA,82,55,27,0.671,19780,3129,6417,2752,5404,377,1013,1769,2302,993,2373,3366,2139,667,418,1215,2046,8404,0.488,0.509,0.372,0.768,0.566,0.517
861,1995-96,WSB,82,39,43,0.476,19805,3202,6618,2709,5406,493,1212,1511,2076,930,2327,3257,1815,592,506,1327,1981,8408,0.484,0.501,0.407,0.728,0.558,0.521
862,1994-95,ATL,82,42,40,0.512,19855,2986,6680,2447,5100,539,1580,1410,1948,1104,2272,3376,1757,738,412,1221,1804,7921,0.447,0.48,0.341,0.724,0.525,0.487
863,1994-95,BOS,82,35,47,0.427,19805,3179,6847,2817,5863,362,984,1708,2268,1156,2320,3476,1783,612,361,1305,1975,8428,0.464,0.48,0.368,0.753,0.537,0.491
864,1994-95,CHH,82,50,32,0.61,19805,3051,6438,2491,5029,560,1409,1587,2042,832,2395,3227,2072,620,399,1224,1685,8249,0.474,0.495,0.397,0.777,0.562,0.517
865,1994-95,CHI,82,47,35,0.573,19830,3191,6710,2748,5523,443,1187,1500,2065,1106,2294,3400,1970,797,352,1297,1962,8325,0.476,0.498,0.373,0.726,0.546,0.509
866,1994-95,CLE,82,43,39,0.524,19930,2756,6255,2358,5222,398,1033,1507,1982,1045,2237,3282,1672,630,349,1176,1694,7417,0.441,0.452,0.385,0.76,0.52,0.472
867,1994-95,DAL,82,36,46,0.439,19930,3227,7342,2841,6142,386,1200,1622,2210,1514,2433,3947,1941,579,348,1345,1811,8462,0.44,0.463,0.322,0.734,0.509,0.466
868,1994-95,DEN,82,41,41,0.5,19980,3098,6461,2685,5301,413,1160,1700,2305,1040,2402,3442,1836,660,585,1381,2063,8309,0.479,0.507,0.356,0.738,0.556,0.511
869,1994-95,DET,82,28,54,0.341,19730,3060,6633,2566,5237,494,1396,1439,1941,958,2204,3162,1872,705,420,1318,2151,8053,0.461,0.49,0.354,0.741,0.538,0.499
870,1994-95,GSW,82,26,56,0.317,19905,3217,6873,2671,5271,546,1602,1687,2395,1101,2371,3472,2017,649,391,1497,1804,8667,0.468,0.507,0.341,0.704,0.547,0.508
871,1994-95,HOU,82,47,35,0.573,19730,3159,6579,2513,4822,646,1757,1527,2039,880,2440,3320,2060,721,514,1322,1714,8491,0.48,0.521,0.368,0.749,0.568,0.529
872,1994-95,IND,82,52,30,0.634,19780,2983,6248,2609,5263,374,985,1796,2390,1051,2290,3341,1877,703,363,1340,1939,8136,0.477,0.496,0.38,0.751,0.557,0.507
873,1994-95,LAC,82,17,65,0.207,19880,3060,6888,2729,5837,331,1051,1476,2079,1064,2076,3140,1805,787,435,1334,2152,7927,0.444,0.468,0.315,0.71,0.508,0.468
874,1994-95,LAL,82,48,34,0.585,19905,3284,7088,2759,5596,525,1492,1523,2072,1126,2316,3442,2078,750,563,1243,1933,8616,0.463,0.493,0.352,0.735,0.539,0.5
875,1994-95,MIA,82,32,50,0.39,19805,3144,6738,2708,5556,436,1182,1569,2133,1092,2272,3364,1779,662,298,1291,2000,8293,0.467,0.487,0.369,0.736,0.54,0.499
876,1994-95,MIL,82,34,48,0.415,19855,3022,6586,2528,5237,494,1349,1608,2259,1063,2187,3250,1737,674,359,1393,1858,8146,0.459,0.483,0.366,0.712,0.537,0.496
877,1994-95,MIN,82,21,61,0.256,19780,2792,6219,2474,5203,318,1016,1824,2355,883,2090,2973,1780,609,402,1400,2074,7726,0.449,0.475,0.313,0.775,0.532,0.475
878,1994-95,NJN,82,30,52,0.366,19880,2939,6738,2525,5441,414,1297,1750,2305,1213,2569,3782,1884,544,548,1300,1844,8042,0.436,0.464,0.319,0.759,0.519,0.467
879,1994-95,NYK,82,55,27,0.671,19780,2985,6394,2453,4948,532,1446,1552,2114,929,2473,3402,2055,591,387,1305,2102,8054,0.467,0.496,0.368,0.734,0.55,0.508
880,1994-95,SEA,82,57,25,0.695,19830,3310,6741,2819,5436,491,1305,1944,2564,1068,2337,3405,2115,917,392,1295,2067,9055,0.491,0.519,0.376,0.758,0.575,0.527
881,1994-95,ORL,82,57,25,0.695,19930,3460,6899,2937,5487,523,1412,1648,2465,1149,2457,3606,2281,672,488,1297,1726,9091,0.502,0.535,0.37,0.669,0.569,0.539
882,1994-95,PHI,82,24,58,0.293,19805,2949,6577,2594,5641,355,936,1567,2125,1105,2230,3335,1566,643,576,1355,1835,7820,0.448,0.46,0.379,0.737,0.521,0.475
883,1994-95,PHO,82,59,23,0.72,19830,3356,6967,2772,5383,584,1584,1777,2352,1027,2403,3430,2198,687,312,1167,1839,9073,0.482,0.515,0.369,0.756,0.567,0.524
884,1994-95,POR,82,44,38,0.537,19705,3217,7134,2755,5868,462,1266,1555,2230,1352,2443,3795,1846,668,467,1212,2024,8451,0.451,0.469,0.365,0.697,0.521,0.483
885,1994-95,SAC,82,39,43,0.476,19855,3025,6463,2666,5426,359,1037,1647,2317,1073,2325,3398,1824,650,457,1449,2040,8056,0.468,0.491,0.346,0.711,0.538,0.496
886,1994-95,SAS,82,62,20,0.756,19855,3236,6687,2802,5529,434,1158,1836,2487,1029,2661,3690,1919,656,456,1246,1871,8742,0.484,0.507,0.375,0.738,0.562,0.516
887,1994-95,UTA,82,60,22,0.732,19780,3243,6339,2942,5538,301,801,1939,2483,874,2412,3286,2256,758,392,1289,2045,8726,0.512,0.531,0.376,0.781,0.587,0.535
888,1994-95,WSB,82,21,61,0.256,19855,3176,6899,2743,5635,433,1264,1457,2013,1044,2219,3263,1749,648,404,1301,1949,8242,0.46,0.487,0.343,0.724,0.529,0.492
889,1993-94,ATL,82,57,25,0.695,19755,3247,7039,2979,6209,268,830,1556,2070,1250,2423,3673,2056,915,449,1252,1625,8318,0.461,0.48,0.323,0.752,0.523,0.48
890,1993-94,BOS,82,32,50,0.39,19905,3333,7057,3195,6580,138,477,1463,2003,1037,2380,3417,1928,674,440,1242,1849,8267,0.472,0.486,0.289,0.73,0.521,0.482
891,1993-94,CHH,82,41,41,0.5,19830,3382,7100,3046,6184,336,916,1632,2135,1019,2475,3494,2214,724,394,1266,1747,8732,0.476,0.493,0.367,0.764,0.543,0.5
892,1993-94,CHI,82,55,27,0.671,19780,3245,6815,3012,6156,233,659,1310,1859,1143,2391,3534,2102,740,354,1306,1750,8033,0.476,0.489,0.354,0.705,0.526,0.493
893,1993-94,CLE,82,47,35,0.573,19855,3133,6731,2839,5918,294,813,1736,2254,1090,2353,3443,2049,705,426,1136,1701,8296,0.465,0.48,0.362,0.77,0.537,0.487
894,1993-94,DAL,82,13,69,0.159,19730,3055,7070,2814,6297,241,773,1450,1942,1271,2150,3421,1629,767,299,1393,2007,7801,0.432,0.447,0.312,0.747,0.492,0.449
895,1993-94,DEN,82,42,40,0.512,19755,3156,6781,2986,6184,170,597,1739,2423,1105,2557,3662,1763,679,686,1422,1926,8221,0.465,0.483,0.285,0.718,0.524,0.478
896,1993-94,DET,82,20,62,0.244,19730,3169,7017,2811,5976,358,1041,1253,1715,1027,2320,3347,1767,602,309,1236,1935,7949,0.452,0.47,0.344,0.731,0.511,0.477
897,1993-94,GSW,82,50,32,0.61,19780,3512,7145,3221,6286,291,859,1529,2304,1183,2396,3579,2198,804,511,1433,1789,8844,0.492,0.512,0.339,0.664,0.542,0.512
898,1993-94,HOU,82,58,24,0.707,19780,3197,6733,2768,5448,429,1285,1469,1978,926,2619,3545,2087,717,485,1338,1646,8292,0.475,0.508,0.334,0.743,0.545,0.507
899,1993-94,IND,82,47,35,0.573,19755,3167,6516,2983,6016,184,500,1762,2387,1130,2409,3539,2055,706,457,1440,1974,8280,0.486,0.496,0.368,0.738,0.547,0.5
900,1993-94,LAC,82,27,55,0.329,19780,3343,7163,3091,6332,252,831,1509,2128,1120,2410,3530,2169,807,421,1474,1769,8447,0.467,0.488,0.303,0.709,0.521,0.484
901,1993-94,LAL,82,33,49,0.402,19755,3291,7316,3050,6513,241,803,1410,1967,1260,2204,3464,1983,751,461,1197,1877,8233,0.45,0.468,0.3,0.717,0.503,0.466
902,1993-94,MIA,82,42,40,0.512,19805,3197,6896,2860,5899,337,997,1744,2223,1235,2407,3642,1856,643,374,1315,2024,8475,0.464,0.485,0.338,0.785,0.538,0.488
903,1993-94,MIL,82,20,62,0.244,19705,3044,6807,2713,5788,331,1019,1530,2181,1126,2154,3280,1946,800,407,1343,1821,7949,0.447,0.469,0.325,0.702,0.512,0.471
904,1993-94,MIN,82,20,62,0.244,19730,2985,6535,2802,5978,183,557,1777,2303,990,2343,3333,1967,600,440,1478,2016,7930,0.457,0.469,0.329,0.772,0.525,0.471
905,1993-94,NJN,82,45,37,0.549,19830,3169,7115,2946,6432,223,683,1900,2495,1300,2556,3856,1900,696,576,1196,1693,8461,0.445,0.458,0.327,0.762,0.515,0.461
906,1993-94,NYK,82,57,25,0.695,19755,3098,6735,2782,5827,316,908,1564,2097,1175,2542,3717,2067,752,385,1360,2001,8076,0.46,0.477,0.348,0.746,0.527,0.483
907,1993-94,SEA,82,63,19,0.768,19730,3338,6901,3096,6179,242,722,1769,2374,1148,2233,3381,2112,1053,365,1262,1914,8687,0.484,0.501,0.335,0.745,0.547,0.501
908,1993-94,ORL,82,50,32,0.61,19730,3341,6883,2947,5746,394,1137,1590,2346,1177,2356,3533,2070,683,456,1327,1713,8666,0.485,0.513,0.347,0.678,0.547,0.514
909,1993-94,PHI,82,25,57,0.305,19805,3103,6819,2785,5877,318,942,1509,2112,1012,2394,3406,1827,663,525,1368,1488,8033,0.455,0.474,0.338,0.714,0.518,0.478
910,1993-94,PHO,82,56,26,0.683,19705,3429,7080,3085,6038,344,1042,1674,2301,1220,2453,3673,2261,745,460,1305,1639,8876,0.484,0.511,0.33,0.728,0.548,0.509
911,1993-94,POR,82,47,35,0.573,19755,3371,7427,3099,6657,272,770,1781,2396,1302,2460,3762,2070,744,409,1210,1827,8795,0.454,0.466,0.353,0.743,0.518,0.472
912,1993-94,SAC,82,28,54,0.341,19755,3179,7027,2922,6298,257,729,1676,2292,1122,2349,3471,2029,669,355,1333,1979,8291,0.452,0.464,0.353,0.731,0.516,0.471
913,1993-94,SAS,82,55,27,0.671,19780,3178,6688,2929,5974,249,714,1597,2151,1189,2597,3786,1896,561,450,1198,1662,8202,0.475,0.49,0.349,0.742,0.537,0.494
914,1993-94,UTA,82,53,29,0.646,19830,3207,6729,3028,6170,179,559,1761,2379,1059,2385,3444,2179,751,364,1191,1988,8354,0.477,0.491,0.32,0.74,0.537,0.49
915,1993-94,WSB,82,24,58,0.293,19705,3195,6826,2974,6082,221,744,1618,2162,1071,2189,3260,1823,701,321,1403,1715,8229,0.468,0.489,0.297,0.748,0.529,0.484
916,1992-93,ATL,82,43,39,0.524,19830,3392,7272,3010,6196,382,1076,1648,2221,1290,2344,3634,2084,806,278,1339,1807,8814,0.466,0.486,0.355,0.742,0.534,0.493
917,1992-93,BOS,82,48,34,0.585,19780,3453,7093,3343,6710,110,383,1486,1912,1076,2436,3512,1999,647,458,1174,1862,8502,0.487,0.498,0.287,0.777,0.536,0.495
918,1992-93,CHH,82,44,38,0.537,19755,3512,7210,3337,6673,175,537,1831,2374,1095,2508,3603,2161,639,473,1325,1790,9030,0.487,0.5,0.326,0.771,0.547,0.499
919,1992-93,CHI,82,57,25,0.695,19830,3475,7205,3231,6536,244,669,1431,1952,1290,2283,3573,2133,783,410,1103,1804,8625,0.482,0.494,0.365,0.733,0.535,0.499
920,1992-93,CLE,82,54,28,0.659,19830,3425,6887,3142,6145,283,742,1699,2119,929,2496,3425,2349,615,536,1120,1580,8832,0.497,0.511,0.381,0.802,0.565,0.518
921,1992-93,DAL,82,11,71,0.134,19730,3164,7271,2881,6434,283,837,1530,2171,1234,2265,3499,1683,649,355,1459,2302,8141,0.435,0.448,0.338,0.705,0.495,0.455
922,1992-93,DEN,82,36,46,0.439,19830,3352,7282,3214,6828,138,454,1784,2360,1266,2564,3830,1735,651,565,1413,2039,8626,0.46,0.471,0.304,0.756,0.518,0.47
923,1992-93,DET,82,40,42,0.488,19780,3267,7211,2975,6303,292,908,1426,1957,1293,2315,3608,1941,580,249,1152,1747,8252,0.453,0.472,0.322,0.729,0.511,0.473
924,1992-93,GSW,82,34,48,0.415,19905,3474,7212,3176,6360,298,852,1768,2465,1219,2384,3603,2010,693,383,1451,2056,9014,0.482,0.499,0.35,0.717,0.543,0.502
925,1992-93,HOU,82,55,27,0.671,19780,3280,6744,2893,5671,387,1073,1584,2090,985,2532,3517,2115,682,543,1295,1699,8531,0.486,0.51,0.361,0.758,0.557,0.515
926,1992-93,IND,82,41,41,0.5,19755,3371,7022,3114,6233,257,789,1837,2399,1220,2455,3675,2144,615,403,1256,2045,8836,0.48,0.5,0.326,0.766,0.547,0.498
927,1992-93,LAC,82,41,41,0.5,19805,3544,7329,3411,6838,133,491,1562,2177,1183,2360,3543,2242,847,491,1338,1920,8783,0.484,0.499,0.271,0.718,0.53,0.493
928,1992-93,LAL,82,39,43,0.476,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546,0.473,0.49,0.299,0.756,0.534,0.486
929,1992-93,MIA,82,36,46,0.439,20005,3127,6850,2794,5910,333,940,1908,2476,1134,2384,3518,1688,609,350,1287,2011,8495,0.456,0.473,0.354,0.771,0.535,0.481
930,1992-93,MIL,82,28,54,0.341,19730,3268,6924,2956,5988,312,936,1544,2081,1050,2113,3163,2084,863,393,1363,1978,8392,0.472,0.494,0.333,0.742,0.535,0.495
931,1992-93,MIN,82,19,63,0.232,19855,3043,6529,2877,5960,166,569,1794,2247,940,2204,3144,2001,649,455,1422,2028,8046,0.466,0.483,0.292,0.798,0.535,0.479
932,1992-93,NJN,82,43,39,0.524,19780,3272,7084,3117,6596,155,488,1732,2258,1291,2506,3797,1872,693,526,1355,1892,8431,0.462,0.473,0.318,0.767,0.522,0.473
933,1992-93,NYK,82,60,22,0.732,19930,3209,6898,3016,6294,193,604,1717,2316,1150,2660,3810,2125,680,372,1296,2111,8328,0.465,0.479,0.32,0.741,0.526,0.479
934,1992-93,SEA,82,55,27,0.671,19780,3473,7140,3255,6530,218,610,1720,2259,1222,2254,3476,1906,944,409,1267,1971,8884,0.486,0.498,0.357,0.761,0.546,0.502
