Rk,Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
764,1998-99,NYK,50,27,23,0.54,12100,1610,3704,1402,3115,208,589,892,1218,551,1510,2061,963,395,262,804,1140,4320,0.435,0.45,0.353,0.732,0.509,0.463
765,1998-99,SEA,50,25,25,0.5,12100,1756,3976,1447,3077,309,899,922,1354,676,1422,2098,1087,393,201,765,1047,4743,0.442,0.47,0.344,0.681,0.519,0.481
766,1998-99,ORL,50,33,17,0.66,12050,1687,3943,1464,3268,223,675,876,1252,688,1445,2133,1067,496,213,819,935,4473,0.428,0.448,0.33,0.7,0.498,0.456
767,1998-99,PHI,50,28,22,0.56,12150,1656,3883,1558,3512,98,371,1073,1486,729,1428,2157,934,542,271,822,1152,4483,0.426,0.444,0.264,0.722,0.494,0.439
768,1998-99,PHO,50,27,23,0.54,12050,1797,4004,1536,3302,261,702,924,1215,598,1418,2016,1249,444,200,681,1022,4779,0.449,0.465,0.372,0.76,0.526,0.481
769,1998-99,POR,50,35,15,0.7,12175,1747,3956,1501,3281,246,675,1002,1349,646,1570,2216,1073,411,290,771,1126,4742,0.442,0.457,0.364,0.743,0.521,0.473
770,1998-99,SAC,50,27,23,0.54,12200,1918,4307,1628,3364,290,943,883,1293,706,1573,2279,1129,444,232,842,1016,5009,0.445,0.484,0.308,0.683,0.514,0.479
771,1998-99,SAS,50,37,13,0.74,12075,1740,3812,1568,3291,172,521,988,1415,614,1584,2198,1101,421,351,759,1010,4640,0.456,0.476,0.33,0.698,0.523,0.479
772,1998-99,TOR,50,23,27,0.46,12075,1660,3940,1434,3278,226,662,1011,1330,712,1447,2159,1036,439,321,799,1139,4557,0.421,0.437,0.341,0.76,0.504,0.45
773,1998-99,UTA,50,37,13,0.74,12175,1684,3620,1544,3232,140,388,1158,1510,555,1508,2063,1204,398,276,814,1133,4666,0.465,0.478,0.361,0.767,0.545,0.485
774,1998-99,WAS,50,18,32,0.36,12050,1768,3969,1589,3389,179,580,845,1198,595,1403,1998,1064,393,193,736,1151,4560,0.445,0.469,0.309,0.705,0.507,0.468
775,1997-98,ATL,82,50,32,0.61,19880,2887,6352,2550,5336,337,1016,1749,2314,1106,2417,3523,1569,653,491,1214,1671,7860,0.455,0.478,0.332,0.756,0.533,0.481
776,1997-98,BOS,82,36,46,0.439,19730,3012,6934,2597,5685,415,1249,1425,1964,1196,2044,3240,1816,987,366,1330,2203,7864,0.434,0.457,0.332,0.726,0.504,0.464
777,1997-98,CHH,82,51,31,0.622,19780,2968,6344,2622,5440,346,904,1641,2186,985,2341,3326,1941,691,312,1247,1757,7923,0.468,0.482,0.383,0.751,0.542,0.495
778,1997-98,CHI,82,62,20,0.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931,0.451,0.471,0.323,0.743,0.516,0.473
779,1997-98,CLE,82,47,35,0.573,19830,2817,6207,2519,5406,298,801,1653,2187,955,2331,3286,1894,814,419,1418,1939,7585,0.454,0.466,0.372,0.756,0.529,0.478
780,1997-98,DAL,82,20,62,0.244,19905,2882,6754,2460,5571,422,1183,1308,1738,1008,2280,3288,1535,646,466,1182,1643,7494,0.427,0.442,0.357,0.753,0.498,0.458
781,1997-98,DEN,82,11,71,0.134,19730,2677,6412,2389,5519,288,893,1658,2147,1040,2157,3197,1547,664,393,1311,1937,7300,0.417,0.433,0.323,0.772,0.496,0.44
782,1997-98,DET,82,37,45,0.451,19955,2862,6373,2569,5435,293,938,1704,2288,1044,2338,3382,1597,678,344,1198,1805,7721,0.449,0.473,0.312,0.745,0.523,0.472
783,1997-98,GSW,82,19,63,0.232,19830,2845,6883,2656,6187,189,696,1358,1912,1288,2473,3761,1708,621,448,1369,1859,7237,0.413,0.429,0.272,0.71,0.468,0.427
784,1997-98,HOU,82,41,41,0.5,19830,2946,6513,2373,4843,573,1670,1634,2120,987,2350,3337,1799,686,294,1298,1653,8099,0.452,0.49,0.343,0.771,0.544,0.496
785,1997-98,IND,82,58,24,0.707,19830,2921,6223,2520,5194,401,1029,1631,2136,874,2348,3222,1889,645,368,1168,1859,7874,0.469,0.485,0.39,0.764,0.55,0.502
786,1997-98,LAC,82,17,65,0.207,19780,2930,6690,2405,5222,525,1468,1480,2047,1040,2276,3316,1533,625,456,1323,1827,7865,0.438,0.461,0.358,0.723,0.518,0.477
787,1997-98,LAL,82,61,21,0.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652,0.481,0.517,0.351,0.679,0.559,0.519
788,1997-98,VAN,82,19,63,0.232,19830,3006,6567,2681,5669,325,898,1586,2145,1081,2313,3394,1960,614,349,1405,1809,7923,0.458,0.473,0.362,0.739,0.527,0.482
789,1997-98,MIA,82,55,27,0.671,19755,2850,6327,2302,4783,548,1544,1539,2082,1028,2419,3447,1758,665,429,1226,1982,7787,0.45,0.481,0.355,0.739,0.538,0.494
